a	ə
aalborski	ɔlˈbɔr.skʲi
abaka	a.baˈka
abakus	abakos
abazja	aˈbaz.ja
abażur	aˈba.ʐur
abchascy	apˈxas.t͡sɨ
abchaski	apˈxas.kʲi
abdykacja	ab.dɨˈkat͡s.ja
abecadło	a.bɛˈt͡sa.dwɔ
abiogeneza	a.bʲɔ.ɡɛˈnɛ.za
abisyńscy	a.bʲiˈsɨɲ.st͡sɨ
abisyński	a.bʲiˈsɨɲ.skʲi
abiturient	a.bʲiˈtu.rʲɛnt
ablacja	abˈlat͡s.ja
ablatyw	abˈla.tɨf
abnegat	abˈnɛ.ɡat
abo	ˈæb.əʉ
abonament	a.bɔˈna.mɛnt
abonent	aˈbɔ.nɛnt
abonowana	a.bɔ.nɔˈva.na
abonowane	a.bɔ.nɔˈva.nɛ
abonowanego	a.bɔ.nɔ.vaˈnɛ.ɡɔ
abonowanej	a.bɔ.nɔˈva.nɛj
abonowanemu	a.bɔ.nɔ.vaˈnɛ.mu
abonowani	a.bɔ.nɔˈva.ɲi
abonowany	a.bɔ.nɔˈva.nɨ
abonowanych	a.bɔ.nɔˈva.nɨx
abonowanym	a.bɔ.nɔˈva.nɨm
abonowanymi	a.bɔ.nɔ.vaˈnɨ.mʲi
abonowaną	a.bɔ.nɔˈva.nɔ̃
abonować	a.bɔˈnɔ.vat͡ɕ
abonujące	a.bɔ.nuˈjɔn.t͡sɛ
abonującego	a.bɔ.nu.jɔnˈt͡sɛ.ɡɔ
abonującej	a.bɔ.nuˈjɔn.t͡sɛj
abonującemu	a.bɔ.nu.jɔnˈt͡sɛ.mu
abonujący	a.bɔ.nuˈjɔn.t͡sɨ
abonujących	a.bɔ.nuˈjɔn.t͡sɨx
abonującym	a.bɔ.nuˈjɔn.t͡sɨm
abonującymi	a.bɔ.nu.jɔnˈt͡sɨ.mʲi
abonującą	a.bɔ.nuˈjɔn.t͡sɔ̃
aborcja	aˈbɔr.t͡sja
absolutnie	ap.sɔˈlut.ɲɛ
absolutny	ap.sɔˈlut.nɨ
absolutyzm	ap.sɔˈlu.tɨzm
absolwent	apˈsɔl.vɛnt
absolwentka	ap.sɔlˈvɛn.tka
absorbować	ap.sɔrˈbɔ.vat͡ɕ
absorpcja	apˈsɔr.pt͡sja
abstrahować	ap.straˈxɔ.vat͡ɕ
abstrakcja	apˈstrak.t͡sja
abstynencja	ap.stɨˈnɛn.t͡sja
abstynent	apˈstɨ.nɛnt
absurd	əbˈsɜːd
absurdalnie	ap.surˈdal.ɲɛ
absurdalniej	ap.surˈdal.ɲɛj
absurdalniejszy	ap.sur.dalˈɲɛj.ʂɨ
absurdalny	ap.surˈdal.nɨ
absurdyzm	apˈsur.dɨzm
absynt	ˈap.sɨnt
aby	əˈbaɪ
acetamid	a.t͡sɛˈta.mʲit
aceton	ˈɒt͡sɛton
acetylen	a.t͡sɛˈtɨ.lɛn
achromatopsja	a.xrɔ.maˈtɔp.sja
aczkolwiek	at͡ʂˈkɔl.vʲɛk
adapter	əˈdaptə
adekwatnie	a.dɛˈkfat.ɲɛ
adekwatniej	a.dɛˈkfat.ɲɛj
adekwatniejszy	a.dɛ.kfatˈɲɛj.ʂɨ
adekwatny	a.dɛˈkfat.nɨ
adept	əˈdɛpt
adiutant	adˈju.tant
administracja	ad.mʲi.ɲiˈstrat͡s.ja
administrator	ədˈmɪnɪstɹeɪtə
administratorka	ad.mʲi.ɲi.straˈtɔr.ka
adopcja	aˈdɔp.t͡sja
adopcyj	aˈdɔp.t͡sɨj
adoracja	a.dɔˈrat͡s.ja
adrenalina	a.drɛ.naˈlʲi.na
adres	aːˈdrɛs
adresat	aˈdrɛ.sat
adresatka	a.drɛˈsat.ka
adresu	aˈdrɛ.su
adwent	ˈad.vɛnt
adwersarz	adˈvɛr.saʂ
adwokat	adˈvɔ.kat
adwokata	ad.vɔˈka.ta
adwokatdiabła	adˈvɔ.kat ˈdjab.la
adwokatka	ad.vɔˈkat.ka
adygejski	ad̪ɨˈɡɛjs̪ʲci
aerostat	a.ɛˈrɔ.stat
afera	aˈfɛ.ra
afgańscy	afˈɡaɲ.st͡sɨ
afgański	avˈɡaɲ.skʲi
afiks	ˈa.fʲiks
afirmacja	a.fʲirˈmat͡s.ja
aforyzm	aˈfɔ.rɨzm
afrodyzjak	a.frɔˈdɨz.jak
afrykanerski	a.frɨ.kaˈnɛr.skʲi
afrykański	a.frɨˈkaɲ.skʲi
agat	ˈaɡət̪ˠ
agawa	aˈɡa.va
agencjatowarzyska	aˈɡɛn.t͡sja tɔ.vaˈʐɨ.ska
agenta	aˈɡɛn.ta
agentura	a.ɡɛnˈtu.ra
agentów	aˈɡɛn.tuf
aglomeracja	aɡ.lɔ.mɛˈrat͡s.ja
aglutynacyjny	aɡ.lu.tɨ.naˈt͡sɨj.nɨ
agnostycyzm	aɡ.nɔˈstɨ.t͡sɨzm
agnostyczny	aɡ.nɔˈstɨt͡ʂ.nɨ
agnostyk	aɡˈnɔ.stɨk
agora	ˈæ.ɡə.ɹə
agorafobia	ˈɑɡorɑfobiɑ
agrafka	aˈɡraf.ka
agregat	aˈɡrɛ.ɡat
agregatprądotwórczy	aˈɡrɛ.ɡat prɔn.dɔˈtfur.t͡ʂɨ
agresja	aˈɡrɛs.ja
agrest	ˈa.ɡrɛst
agresywny	a.ɡrɛˈsɨv.nɨ
agronomia	a.ɡrɔˈnɔ.mʲa
aha	æhæ
aikido	aɪˈkiːdəʊ
akacja	aˈkat͡s.ja
akademia	a.kaˈdɛ.mʲa
akademicki	a.ka.dɛˈmʲit͡s.kʲi
akademik	a.kaˈdɛ.mʲik
akapit	aˈka.pʲit
akcelerometr	ak.t͡sɛ.lɛˈrɔ.mɛtr
akcent	ˈak.t͡sɛnt
akcja	ˈak.t͡sja
akcji	ˈak.t͡sji
akcjonariusz	ak.t͡sjɔˈna.rʲuʂ
akomodacja	a.kɔ.mɔˈdat͡s.ja
akordeon	a.kɔrˈdɛ.ɔn
akordeonista	a.kɔr.dɛ.ɔˈɲi.sta
akordeonistka	a.kɔr.dɛ.ɔˈɲi.stka
akrobata	ˈɒkrobɒtɒ
akrobatka	a.krɔˈbat.ka
akromegalia	a.krɔ.mɛˈɡa.lʲa
akromegalie	a.krɔ.mɛˈɡa.lʲɛ
akronim	aˈkrɔ.ɲim
akropol	aˈkrɔ.pɔl
aksamit	akˈsa.mʲit
aksjomat	akˈsjɔ.mat
akson	ˈak.sɔn
akt	ˈɒkt
aktor	ˈak.tɔr
aktorka	akˈtɔr.ka
aktorzy	akˈtɔ.ʐɨ
aktrozpaczy	akt rɔˈspa.t͡ʂɨ
aktualizacja	ak.tu.a.lʲiˈzat͡s.ja
aktualnie	ak.tuˈal.ɲɛ
aktualniejszy	ak.tu.alˈɲɛj.ʂɨ
aktualny	ak.tuˈal.nɨ
aktyn	ˈak.tɨn
aktywacja	ak.tɨˈvat͡s.ja
aktywista	ak.tɨˈvʲi.sta
aktywistka	ak.tɨˈvʲi.stka
aktywniejszy	ak.tɨvˈɲɛj.ʂɨ
aktywny	akˈtɨv.nɨ
auwasMurzynówbiją	a u vas muˈʐɨ.nuf ˈbʲi.jɔ̃
aświstaksiedziizawijajewtesreberka	a ˈɕfʲi.stak ˈɕɛ.d͡ʑi i zaˈvʲi.ja jɛ ftɛ srɛˈbɛr.ka
baba	baba
babci	ˈbap.t͡ɕi
babcia	ˈbap.t͡ɕa
babciny	bapˈt͡ɕi.nɨ
babciu	ˈbap.t͡ɕu
babeczka	baˈbɛt͡ʂ.ka
babielato	ˈba.bʲɛ ˈla.tɔ
babiloński	ba.bʲiˈlɔɲ.skʲi
babka	ˈbapka
babunia	baˈbu.ɲa
babyzdziadembrakuje	ˈba.bɨ ˈʑd͡ʑa.dɛm braˈku.jɛ
bachor	ˈba.xɔr
baczność	ˈbat͡ʂ.nɔɕt͡ɕ
bacówka	baˈt͡suf.ka
bad	bæd
badacz	ˈba.dat͡ʂ
badania	baˈda.ɲa
badanie	baˈda.ɲɛ
badać	ˈba.dat͡ɕ
badań	ˈba.daɲ
badyl	ˈba.dɨl
badziewie	baˈd͡ʑɛ.vʲɛ
bagatela	ba.ɡaˈtɛ.la
bagaż	ˈba.ɡaʂ
bagażnik	baˈɡaʐ.ɲik
bagietka	baˈɡʲɛt.ka
bagnet	ˈbaɡ.nɛt
bagno	ˈba.ɲo
bajanizm	baˈja.ɲizm
bajać	ˈba.jat͡ɕ
bajgiel	ˈbaj.ɡʲɛl
bajka	ˈbaj.ka
bajońskiesumy	baˈjɔɲ.skʲɛ ˈsu.mɨ
bajt	ˈbɒjt
bajta	ˈbaj.ta
bak	bɑk
bakałarz	baˈka.waʂ
bakburta	bakˈbur.ta
baks	baks
bakteria	bakˈtɛ.rʲa
bakteriobójczy	bak.tɛ.rʲɔˈbuj.t͡ʂɨ
bakteriofag	bak.tɛˈrʲɔ.fak
bakteryjny	bak.tɛˈrɨj.nɨ
bakłażan	baˈkwa.ʐan
bal	bɑl
balast	ˈba.last
baldachim	balˈda.xʲim
balet	ˈba.lɛt
balia	ˈba.lʲa
balista	balɪsta
balkon	balkɔnɡ
balsam	ˈbɔːlsəm
balsamować	bal.saˈmɔ.vat͡ɕ
balustrada	ba.luˈstra.da
bambus	ˈpampʏs
bambusowy	bam.buˈsɔ.vɨ
ban	bæn
banalniejszy	ba.nalˈɲɛj.ʂɨ
banalny	baˈnal.nɨ
banan	ba.naːn
bananowy	ba.naˈnɔ.vɨ
banda	ˈban.də
bandaż	ˈban.daʂ
bandera	banˈdɛ.ra
banderowski	ban.dɛˈrɔf.skʲi
bandyta	banˈdɨ.ta
banialuki	ba.ɲaˈlu.kʲi
banicja	baˈɲit͡s.ja
banita	baˈɲi.ta
bank	bæŋk
banki	ˈbá.ᵑki
bankiet	ˈban.kʲɛt
banknot	ˈban.knɔt
bankomat	ˈbaŋkomat
bankructwo	banˈkrut͡s.tfɔ
bankrut	ˈban.krut
bankrutując	ban.kruˈtu.jɔnt͡s
bankrutujący	ban.kru.tuˈjɔn.t͡sɨ
bar	bɑː
barabanda	ba.raˈban.da
barachło	baraxˈwɔ
baran	ˈbaran
baranek	baˈra.nɛk
baranina	ba.raˈɲi.na
barbarzyńca	bar.baˈʐɨɲ.t͡sa
barbarzyństwo	bar.baˈʐɨɲ.stfɔ
bardak	ˈbar.dak
bardziej	ˈbar.d͡ʑɛj
bardzo	ˈbar.d͡zɔ
bareizm	baˈrɛ.izm
barion	ˈbarjɔn̪
bark	bɑːk
barka	ˈbɒrkɒ
barman	ˈbɑːmən
barograf	baˈrɔ.ɡraf
barogram	baˈrɔ.ɡram
barok	ˈba.rɔk
barokowy	ba.rɔˈkɔ.vɨ
barometr	baˈrɔmɛtr
barszcz	barʂt͡ʂ
barć	bart͡ɕ
barłóg	ˈba.rwuk
